3,Elite,2,hazelnutlatte,14,9,4,10,13,Xeia,12.5,4,7,5,14,Tyrants,3,Majik,14.5,14,3,4,26,TruSolja,13,5,7,4,15
4,Hurricanes,5,AcePocket,14,12,5,11,20,Aether,13.5,8,0,2,8,Elite,0,Demonic,14,7,3,11,17,hazelnutlatte,14,6,4,8,15
4,Bulls,2,Lightning,12,7,5,2,17,Vandy,14,10,3,3,25,Spectre,3,MonsterJamers,12.5,2,4,8,4,Mythonian,13,13,1,4,18
4,Tyrants,2,alex5050,13,6,2,8,23,TruSolja,13,5,2,5,20,Dodgers,3,InanimateJ,14,8,4,12,19,Minamacky,14,9,4,12,16
4,Pandas,2,BlueMars2,13,5,2,6,13,PomWonderful,13,7,4,7,18,Flames,3,Bones,14,9,1,8,24,Fittz,12.5,5,5,7,8
4,Demolition,2,Bandi,14,6,5,6,12,CinderBlock,14,9,2,4,20,Rhinos,3,kcscrag,12.5,6,3,6,11,Fluffy_Eagle,13,5,2,8,15
4,Spartans,5,Cali,14,6,5,9,19,Sushii,14,9,4,5,19,Foxes,0,Kat,14,1,1,7,12,Thunderballs,13.5,5,0,8,12
4,Sharks,2,ScoobertDoobert,14,9,5,10,26,Grizz1y,13,8,4,6,22,Hive,3,JakeUpTheLeft,13.5,6,4,10,12,Vino,14.5,8,1,11,18
4,Shadow,3,Euronate,14,13,4,13,32,Void,12.5,7,5,9,24,Lightning,2,Magnus,12.5,5,6,7,17,Sough,14,14,4,22,24
4,Comets,3,RapidChampion,13,5,5,8,16,Thunderbug95,13,6,3,5,18,Jets,2,Iccymike,13,7,1,9,12,Rushy,12.5,4,3,9,19
4,Sabres,1,1AMRamen,14,4,3,9,9,K3v,12.5,9,1,8,17,Knights,4,Beninemm,14,8,6,3,17,OGKrish,12,11,4,7,24
4,Eclipse,2,Krops,14,7,5,6,21,Lil Q,14,11,5,6,23,Express,3,Lad,14,9,3,10,19,Manatee,13,7,3,10,19
4,Aviators,0,007Bondo,12.5,1,1,5,8,Fllassh,14,1,1,4,10,Puffins,5,Bazed,14,5,10,6,12,SchellRL,13,14,4,6,20
4,Blizzard,2,Jroja,12.5,7,2,11,19,Koalemos,14,6,4,6,19,Hawks,3,Hell,13.5,10,4,11,22,Zair,13,8,6,10,20
4,Bears,5,Kracerlink,14,18,7,9,36,Water,14,16,12,5,22,Wizards,0,Jimmer,14,11,2,7,17,KingHaast,12,6,4,11,13
4,Pirates,2,RED,14,8,6,9,18,Tater,14.5,8,3,9,20,Outlaws,3,Peytoneli,14,8,6,8,17,Saucey,14,9,5,10,24
4,Wolves,2,arrogantmeat,12,4,3,3,16,Wray,13.5,6,3,6,22,Ducks,3,GoldenGomez,13,10,5,7,22,Rolamin,12,8,7,10,17
5,Hurricanes,5,AcePocket,14,17,4,5,32,Ondo,12,5,10,2,12,Spectre,0,JorbyPls,12.5,4,1,8,8,MonsterJamers,12.5,5,1,8,11
5,Hawks,3,Bel,13,7,3,10,15,Hell,13.5,5,2,13,13,Puffins,2,Bazed,14,8,4,4,27,SchellRL,13,6,2,4,14
5,Sabres,0,Big Boi Johnny,13,4,1,5,18,K3v,12.5,3,1,2,20,Rhinos,5,kcscrag,12.5,7,5,10,12,Korluss,14,8,5,11,19
5,Demolition,3,Bandi,14,4,8,8,18,CinderBlock,14,14,3,6,28,Knights,2,Beninemm,14,10,5,5,25,MikeIsMyIke,14,9,5,11,15
